t,Pe_FullDyn
2.00,69198.81418
2.10,95551.24279
2.20,117858.09202
2.30,136740.43223
2.40,152723.98814
2.50,166253.77612
2.60,177706.49438
2.70,187401.01109
2.80,195607.24232
2.90,202553.66709
3.00,208433.68870
3.10,213411.01954
3.20,217624.23914
3.30,221190.65253
3.40,224209.55629
3.50,226765.00315
3.60,228928.14221
3.70,230759.19990
3.80,232309.15677
3.90,233621.16694
4.00,234731.75956
4.10,235671.85593
4.20,236467.63032
4.30,237141.23880
4.40,237711.43606
4.50,238194.09763
4.60,238602.66182
4.70,238948.50395
4.80,239241.25299
4.90,239489.05970
5.00,239698.82355
5.10,239876.38482
5.20,240026.68719
5.30,240153.91539
5.40,240261.61175
5.50,240352.77474
5.60,240429.94255
5.70,240495.26369
5.80,240550.55684
5.90,240597.36148
6.00,240636.98076
6.10,240670.51775
6.20,240698.90620
6.30,240722.93650
6.40,240743.27771
6.50,240760.49618
6.60,240775.07130
6.70,240787.40887
6.80,240797.85239
6.90,240806.69265
7.00,240814.17576
7.10,240820.51008
7.20,240825.87197
7.30,240830.41071
7.40,240834.25267
7.50,240837.50481
7.60,240840.25770
7.70,240842.58796
7.80,240844.56049
7.90,240846.23020
8.00,240847.64358
8.10,240848.83998
8.20,240849.85270
8.30,240850.70996
8.40,240851.43561
8.50,240852.04987
8.60,240852.56982
8.70,240853.00995
8.80,240853.38251
8.90,240853.69788
9.00,240853.96483
9.10,240854.19080
9.20,240854.38208
9.30,240854.54400
9.40,240854.68105
9.50,240854.79707
9.60,240854.89528
9.70,240854.97841
9.80,240855.04877
9.90,240855.10834
10.10,240855.20144
10.20,69198.81418
10.30,69198.81418
10.40,69198.81418
10.50,69198.81418
10.60,69198.81418
10.70,69198.81418
10.80,69198.81418
10.90,69198.81418
11.00,69198.81418
11.10,69198.81418
11.20,69198.81418
11.30,69198.81418
11.40,69198.81418
11.50,69198.81418
11.60,69198.81418
11.70,69198.81418
11.80,69198.81418
11.90,69198.81418
12.00,69198.81418
12.10,69198.81418
12.20,69198.81418
12.30,69198.81418
12.40,69198.81418
12.50,69198.81418
12.60,69198.81418
12.70,69198.81418
12.80,69198.81418
12.90,69198.81418
13.00,69198.81418
13.10,69198.81418
13.20,69198.81418
13.30,69198.81418
13.40,69198.81418
13.50,69198.81418
13.60,69198.81418
13.70,69198.81418
13.80,69198.81418
13.90,69198.81418
14.00,69198.81418
14.10,69198.81418
14.20,69198.81418
14.30,69198.81418
14.40,69198.81418
14.50,69198.81418
14.60,69198.81418
14.70,69198.81418
14.80,69198.81418
14.90,69198.81418
15.00,69198.81418
15.10,69198.81418
15.20,69198.81418
15.30,69198.81418
15.40,69198.81418
15.50,69198.81418
15.60,69198.81418
15.70,69198.81418
15.80,69198.81418
15.90,69198.81418
16.00,69198.81418
16.10,69198.81418
16.20,69198.81418
16.30,69198.81418
16.40,69198.81418
16.50,69198.81418
16.60,69198.81418
16.70,69198.81418
16.80,69198.81418
16.90,69198.81418
17.00,69198.81418
17.10,69198.81418
17.20,69198.81418
17.30,69198.81418
17.40,69198.81418
17.50,69198.81418
17.60,69198.81418
17.70,69198.81418
17.80,69198.81418
17.90,69198.81418
18.00,69198.81418
18.10,69198.81418
18.20,69198.81418
18.30,69198.81418
18.40,69198.81418
18.50,69198.81418
18.60,69198.81418
18.70,69198.81418
18.80,69198.81418
18.90,69198.81418
19.00,69198.81418
19.10,69198.81418
19.20,69198.81418
19.30,69198.81418
19.40,69198.81418
19.50,69198.81418
19.60,69198.81418
19.70,69198.81418
19.80,69198.81418
19.90,69198.81418
20.00,69198.81418
20.10,69198.81418
20.20,69198.81418
20.30,69198.81418
20.40,69198.81418
20.50,69198.81418
20.60,69198.81418
20.70,69198.81418
20.80,69198.81418
20.90,69198.81418
21.00,69198.81418
21.10,69198.81418
21.20,69198.81418
21.30,69198.81418
21.40,69198.81418
21.50,69198.81418
21.60,69198.81418
21.70,69198.81418
21.80,69198.81418
21.90,69198.81418
22.00,69198.81418
22.10,69198.81418
22.20,69198.81418
22.30,69198.81418
22.40,69198.81418
22.50,69198.81418
22.60,69198.81418
22.70,69198.81418
22.80,69198.81418
22.90,69198.81418
23.00,69198.81418
23.10,69198.81418
23.20,69198.81418
23.30,69198.81418
23.40,69198.81418
23.50,69198.81418
23.60,69198.81418
23.70,69198.81418
23.80,69198.81418
23.90,69198.81418
24.00,69198.81418
24.10,69198.81418
24.20,69198.81418
24.30,69198.81418
24.40,69198.81418
24.50,69198.81418
24.60,69198.81418
24.70,69198.81418
24.80,69198.81418
24.90,69198.81418
25.00,69198.81418
