HDV group , Production Stage , Vehicle Category , HDV SuperGroup , Articulated , Num Axles , TPMLM_Min , TPMLM_Max , doubledecker , vehicle code , low entry , floor type , DesignSpeed , Body  , .vacc file , Cross Wind Correction , CdxA Standard , AxlesWeights         , Width , Length , Body Height , entrance height , CurbMass , PassengersLowerDeck , PassengersUpperDeck , Heavy Urban , Urban , Suburban , Interurban , Coach , ES_External displays , ES_Internal displays , ES_Fridge , ES_Kitchen Standard , HVAC System Configuration , HeatPump Cooling Passenger conventional , HeatPump Cooling Passenger HEV , HeatPump Cooling Passenger PEV , HeatPump Heating Passenger conventional , HeatPump Heating Passenger HEV , HeatPump Heating Passenger PEV , HVAC Aux Heater conventional , HVAC Aux Heater HEV , HVAC Aux Heater PEV , WaterElectricHeater conventional , WaterElectricHeater HEV , WaterElectricHeater PEV , HVAC Double Glasing , HVAC Adjustable AuxiliaryHeater , HVAC SeparateAirDistributionDucts
## Heavy Bus Primary Vehicles
##        , -----            , -----            , -----          , -----       , -----     , -----     , -----     , -----        , -----        , -----     , -----      , -----       , ----- , -----      , -----                 , -----         , -----
P35SD     , 1                , HeavyBus         , P35_36         , 1           , 3         , 7.4       , 999       , 0            , CG           , 0         , low floor  , 100         ,       , Bus.vacc   , CoachBus              , 5.1           , 24.3/35.2/40.5       , 2.55  , 18.2   , 2.8         , 340             , 17800    , 104                 , 0                   , 3           , 3     , 3        , 2.2/1.8    ,       , 3                    , 3                    , 0         , 0                   , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 15                           , 15                  , 0                   , 0                                , 0                       , 1                       , 0                   , 0                               , 0
P35DD     , 1                , HeavyBus         , P35_36         , 1           , 3         , 7.4       , 999       , 1            , CH           , 0         , low floor  , 100         ,       , Bus.vacc   , CoachBus              , 6.4           , 24.3/35.2/40.5       , 2.55  , 18.2   , 3.8         , 340             , 20250    , 78                  , 52                  , 3.7         , 3.7   , 3.7      ,            ,       ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 15                           , 15                  , 0                   , 0                                , 0                       , 1                       , 0                   , 0                               , 0
P36SD     , 1                , HeavyBus         , P35_36         , 1           , 3         , 7.4       , 999       , 0            , CC           , -         , high floor , 100         ,       , Bus.vacc   , CoachBus              , 3.60          , 24.3/35.2/40.5       , 2.55  , 18.2   , 3.15        , 340             , 19267    , 59                  , 0                   ,             ,       ,          , 2.2/1.8    , 1.4   ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 30                           , 30                  , 0                   , 0                                , 0                       , 1                       , 1                   , 0                               , 1
P36DD     , 1                , HeavyBus         , P35_36         , 1           , 3         , 7.4       , 999       , 1            , CD           , -         , high floor , 100         ,       , Bus.vacc   , CoachBus              , 4.05          , 24.3/35.2/40.5       , 2.55  , 18.2   , 3.7         , 340             , 21375    , 33                  , 46                  ,             ,       ,          , 3/2.5      , 2     ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 30                           , 30                  , 0                   , 0                                , 0                       , 1                       , 1                   , 0                               , 1
##        , -----            , -----            , -----          , -----       , -----     , -----     , -----     , -----        , -----        , -----     , -----      , -----       , ----- , -----      , -----                 , -----         , -----                ,
P37SD     , 1                , HeavyBus         , P37_38         , 0           , 4         , 7.4       , 999       , 0            , CE           , 0         , low floor  , 100         ,       , Bus.vacc   , CoachBus              , 5.1           , 21.4/21.4/35.8/21.4  , 2.55  , 15     , 2.8         , 340             , 15000    , 125                 , 0                   , 3           , 3     , 3        , 2.2/1.8    ,       ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 15                           , 15                  , 0                   , 0                                , 0                       , 1                       , 0                   , 0                               , 0
P37DD     , 1                , HeavyBus         , P37_38         , 0           , 4         , 7.4       , 999       , 1            , CF           , 0         , low floor  , 100         ,       , Bus.vacc   , CoachBus              , 6.4           , 21.4/21.4/35.8/21.4  , 2.55  , 15     , 3.8         , 340             , 18700    , 94                  , 62                  , 3.7         , 3.7   , 3.7      ,            ,       ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 15                           , 15                  , 0                   , 0                                , 0                       , 1                       , 0                   , 0                               , 0
P38SD     , 1                , HeavyBus         , P37_38         , 0           , 4         , 7.4       , 999       , 0            , CA           , -         , high floor , 100         ,       , Bus.vacc   , CoachBus              , 3.60          , 21.4/21.4/35.8/21.4  , 2.55  , 15     , 3.15        , 340             , 17500    , 70                  , 0                   ,             ,       ,          , 2.2/1.8    , 1.4   ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 30                           , 30                  , 0                   , 0                                , 0                       , 1                       , 1                   , 0                               , 1
P38DD     , 1                , HeavyBus         , P37_38         , 0           , 4         , 7.4       , 999       , 1            , CB           , -         , high floor , 100         ,       , Bus.vacc   , CoachBus              , 4.05          , 21.4/21.4/35.8/21.4  , 2.55  , 15     , 3.7         , 340             , 21200    , 39                  , 55                  ,             ,       ,          , 3/2.5      , 2     ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 30                           , 30                  , 0                   , 0                                , 0                       , 1                       , 1                   , 0                               , 1
##        , -----            , -----            , -----          , -----       , -----     , -----     , -----     , -----        , -----        , -----     , -----      , -----       , ----- , -----      , -----                 , -----         , -----
P39SD     , 1                , HeavyBus         , P39_40         , 1           , 4         , 7.4       , 999       , 0            , CG           , 0         , low floor  , 100         ,       , Bus.vacc   , CoachBus              , 5.2           , 20.0/28.2/32.4/19.4  , 2.55  , 21     , 2.6         , 340             , 19600    , 125                 , 0                   , 3           , 3     , 3        , 2.2/1.8    ,       , 3                    , 3                    , 0         , 0                   , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 15                           , 15                  , 0                   , 0                                , 0                       , 1                       , 0                   , 0                               , 0
P39DD     , 1                , HeavyBus         , P39_40         , 1           , 4         , 7.4       , 999       , 1            , CH           , 0         , low floor  , 100         ,       , Bus.vacc   , CoachBus              , 6.5           , 20.0/28.2/32.4/19.4  , 2.55  , 21     , 3.8         , 340             , 24800    , 94                  , 62                  , 3.7         , 3.7   , 3.7      ,            ,       ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 15                           , 15                  , 0                   , 0                                , 0                       , 1                       , 0                   , 0                               , 0
P40SD     , 1                , HeavyBus         , P39_40         , 1           , 4         , 7.4       , 999       , 0            , CC           , -         , high floor , 100         ,       , Bus.vacc   , CoachBus              , 3.68          , 20.0/28.2/32.4/19.4  , 2.55  , 21     , 3.15        , 340             , 20950    , 70                  , 0                   ,             ,       ,          , 2.2/1.8    , 1.4   ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 30                           , 30                  , 0                   , 0                                , 0                       , 1                       , 1                   , 0                               , 1
P40DD     , 1                , HeavyBus         , P39_40         , 1           , 4         , 7.4       , 999       , 1            , CD           , -         , high floor , 100         ,       , Bus.vacc   , CoachBus              , 4.13          , 20.0/28.2/32.4/19.4  , 2.55  , 21     , 3.7         , 340             , 24600    , 39                  , 55                  ,             ,       ,          , 3/2.5      , 2     ,                      ,                      ,           ,                     , 6                         , non R-744 2-stage                       , non R-744 2-stage              , non R-744 continuous           , none                                    , none                           , non R-744 continuous           , 30                           , 30                  , 0                   , 0                                , 0                       , 1                       , 1                   , 0                               , 1
