HDV group , Production Stage , Vehicle Category , HDV SuperGroup , Articulated , Num Axles , TPMLM_Min , TPMLM_Max , doubledecker , floor type , DesignSpeed , Body , .vacc file , Cross Wind Correction , CdxA Standard , AxlesWeights        , Width , Length , Body Height , CurbMass , PassengersLowerDeck , PassengersUpperDeck , Heavy Urban , Urban , Suburban , Interurban , Coach , External displays , Internal displays , Fridge , Kitchen Standard , HVAC System Configuration , HVAC Compressor type , HVAC Aux Heater , HVAC Double Glasing , HVAC Heatpump , HVAC Adjustable AuxiliaryHeater , HVAC SeparateAirDistributionDucts
## Heavy Bus Primary Vehicles
#
P35SD     , 1                , HeavyBus         , PB43           , 1           , 3         , 7.4       , 999       , 0            , low        , 100         ,      , Bus.vacc   , CoachBus              , 5.1           , 24.3/35.2/40.5      , 2.55  , 18.2   , 2.8         , 12000    , 104                 , 0                   , 3           , 3     , 3        ,            ,       , 3                 , 3                 , 0      , 0                , 6                         , 2-stage              , 15              , 0                   , 0             , 0                               , 0
P35DD     , 1                , HeavyBus         , PB43           , 1           , 3         , 7.4       , 999       , 1            , low        , 100         ,      , Bus.vacc   , CoachBus              , 6.4           , 24.3/35.2/40.5      , 2.55  , 18.2   , 3.8         , 12000    , 78                  , 52                  , 3.7         , 3.7   , 3.7      ,            ,       ,                   ,                   ,        ,                  , 6                         , 2-stage              , 15              , 0                   , 0             , 0                               , 0
P36SD     , 1                , HeavyBus         , PB43           , 1           , 3         , 7.4       , 999       , 0            , high       , 100         ,      , Bus.vacc   , CoachBus              , 4.8           , 24.3/35.2/40.5      , 2.55  , 18.2   , 3.15        , 12000    , 59                  , 0                   ,             ,       ,          , 2.2        , 1.4   ,                   ,                   ,        ,                  , 6                         , 2-stage              , 30              , 1                   , 0             , 0                               , 1
P36DD     , 1                , HeavyBus         , PB43           , 1           , 3         , 7.4       , 999       , 1            , high       , 100         ,      , Bus.vacc   , CoachBus              , 5.4           , 24.3/35.2/40.5      , 2.55  , 18.2   , 3.7         , 12000    , 33                  , 46                  ,             ,       ,          , 3          , 2     ,                   ,                   ,        ,                  , 6                         , 2-stage              , 30              , 1                   , 0             , 0                               , 1
##        ,
P37SD     , 1                , HeavyBus         , PB44           , 0           , 4         , 7.4       , 999       , 0            , low        , 100         ,      , Bus.vacc   , CoachBus              , 5.1           , 21.4/21.4/35.8/21.4 , 2.55  , 15     , 2.8         , 14000    , 125                 , 0                   , 3           , 3     , 3        ,            ,       ,                   ,                   ,        ,                  , 6                         , 2-stage              , 15              , 0                   , 0             , 0                               , 0
P37DD     , 1                , HeavyBus         , PB44           , 0           , 4         , 7.4       , 999       , 1            , low        , 100         ,      , Bus.vacc   , CoachBus              , 6.4           , 21.4/21.4/35.8/21.4 , 2.55  , 15     , 3.8         , 14000    , 94                  , 62                  , 3.7         , 3.7   , 3.7      ,            ,       ,                   ,                   ,        ,                  , 6                         , 2-stage              , 15              , 0                   , 0             , 0                               , 0
P38SD     , 1                , HeavyBus         , PB44           , 0           , 4         , 7.4       , 999       , 0            , high       , 100         ,      , Bus.vacc   , CoachBus              , 4.8           , 21.4/21.4/35.8/21.4 , 2.55  , 15     , 3.15        , 14000    , 70                  , 0                   ,             ,       ,          , 2.2        , 1.4   ,                   ,                   ,        ,                  , 6                         , 2-stage              , 30              , 1                   , 0             , 0                               , 1
P38DD     , 1                , HeavyBus         , PB44           , 0           , 4         , 7.4       , 999       , 1            , high       , 100         ,      , Bus.vacc   , CoachBus              , 5.4           , 21.4/21.4/35.8/21.4 , 2.55  , 15     , 3.7         , 14000    , 39                  , 55                  ,             ,       ,          , 3          , 2     ,                   ,                   ,        ,                  , 6                         , 2-stage              , 30              , 1                   , 0             , 0                               , 1
#
P39SD     , 1                , HeavyBus         , PB45           , 1           , 4         , 7.4       , 999       , 0            , low        , 100         ,      , Bus.vacc   , CoachBus              , 5.2           , 20.0/28.2/32.4/19.4 , 2.55  , 21     , 2.6         , 14000    , 125                 , 0                   , 3           , 3     , 3        ,            ,       , 3                 , 3                 , 0      , 0                , 6                         , 2-stage              , 15              , 0                   , 0             , 0                               , 0
P39DD     , 1                , HeavyBus         , PB45           , 1           , 4         , 7.4       , 999       , 1            , low        , 100         ,      , Bus.vacc   , CoachBus              , 6.5           , 20.0/28.2/32.4/19.4 , 2.55  , 21     , 3.8         , 14000    , 94                  , 62                  , 3.7         , 3.7   , 3.7      ,            ,       ,                   ,                   ,        ,                  , 6                         , 2-stage              , 15              , 0                   , 0             , 0                               , 0
P40SD     , 1                , HeavyBus         , PB45           , 1           , 4         , 7.4       , 999       , 0            , high       , 100         ,      , Bus.vacc   , CoachBus              , 4.9           , 20.0/28.2/32.4/19.4 , 2.55  , 21     , 3.15        , 14000    , 70                  , 0                   ,             ,       ,          , 2.2        , 1.4   ,                   ,                   ,        ,                  , 6                         , 2-stage              , 30              , 1                   , 0             , 0                               , 1
P40DD     , 1                , HeavyBus         , PB45           , 1           , 4         , 7.4       , 999       , 1            , high       , 100         ,      , Bus.vacc   , CoachBus              , 5.5           , 20.0/28.2/32.4/19.4 , 2.55  , 21     , 3.7         , 14000    , 39                  , 55                  ,             ,       ,          , 3          , 2     ,                   ,                   ,        ,                  , 6                         , 2-stage              , 30              , 1                   , 0             , 0                               , 1
