HDV group , Vocational , Valid , Vehicle Category , Axle Conf. , TPMLM_Min , TPMLM_Max , Height , DesignSpeed , Body , Body Construction , Body MunicipalUtility , Trailer , Trailer Construction , EMS    , .vacc file , Cross Wind Correction - Long haul , Cross Wind Correction - EMS , Cross Wind Correction - Other , Truck Axles - Long haul , Truck Axles - Other , Trailer Axles - Long haul , Trailer Axles - Other , Truck Axles - Long haul EMS , Truck Axles - Other EMS , Trailer Axles - Long haul EMS , Trailer Axles - Other EMS , Long haul       , Long haul EMS , Regional delivery , Regional delivery EMS , Urban delivery  , Municipal utility , Construction , Heavy Urban , Urban , Suburban , Interurban , Coach , CdxA_Default , CdxA_Construction
5         , 1          , 1     , Tractor          , 4x2        , 16        , 99        , 4      , 85          ,      ,                   ,                       , ST1     , STT1                 , ST1+T2 , Truck.vacc , TractorSemitrailer                , RigidTrailer                , TractorSemitrailer            , 20/25                   , 25/25               , 55                        , 50                    , 15/20                       , 17.5/25                 , 40/25                         , 35/22.5                   , -               , -             , -                 , -                     , -               , -                 , 2600/12900   , -           , -     , -        , -          , -     , 8.7          , 7.2
6         , 0          , 0     , RigidTruck       , 4x4        , 7.5       , 16        , 3.75   , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
7         , 0          , 0     , RigidTruck       , 4x4        , 16        , 99        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
8         , 0          , 0     , Tractor          , 4x4        , 16        , 99        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , TractorSemitrailer            ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
9         , 0          , 1     , RigidTruck       , 6x2        , 0         , 99        , 4      , 85          , B5   , BT2               , MU9                   , T2      ,                      , D+ST1  , Truck.vacc , RigidTrailer                      , RigidTrailer                , RigidSolo                     , 20/30/15                , 35/40/25            , 35                        ,                       , 15/20/10                    , 17.5/20/10              , 22.5/32.5                     , 22.5/30                   , 2600/19300      , 3500/26500    , 1400/7100         , 3500/17500            , -               , 1200/6000         , -            , -           , -     , -        , -          , -     , 8.5          , 6.7
9         , 1          , 1     , RigidTruck       , 6x2        , 0         , 99        , 4      , 85          , B5   , BT2               , MU9                   , T2      ,                      , D+ST1  , Truck.vacc , RigidTrailer                      , RigidTrailer                , RigidSolo                     , 20/30/15                , 35/40/25            , 35                        ,                       , 15/20/10                    , 17.5/20/10              , 22.5/32.5                     , 22.5/30                   , -               , -             , -                 , -                     , -               , 1200/6000         , 1400/7100    , -           , -     , -        , -          , -     , 8.5          , 6.7
10        , 0          , 1     , Tractor          , 6x2        , 0         , 99        , 4      , 85          ,      ,                   ,                       , ST1     , STT2                 , ST1+T2 , Truck.vacc , TractorSemitrailer                , RigidTrailer                , TractorSemitrailer            , 15/10/20                , 20/10/20            , 55                        , 50                    , 12.5/15/10                  , 15/15/10                , 37.5/25                       , 35/25                     , 2600/19300      , 3500/26500    , 2600/12900        , 3500/17500            , -               , -                 , -            , -           , -     , -        , -          , -     , 8.8          , 7.3
10        , 1          , 1     , Tractor          , 6x2        , 0         , 99        , 4      , 85          ,      ,                   ,                       , ST1     , STT2                 , ST1+T2 , Truck.vacc , TractorSemitrailer                , RigidTrailer                , TractorSemitrailer            , 15/10/20                , 20/10/20            , 55                        , 50                    , 12.5/15/10                  , 15/15/10                , 37.5/25                       , 35/25                     , -               , -             , -                 , -                     , -               , -                 , 2600/12900   , -           , -     , -        , -          , -     , 8.8          , 7.3
11        , 0          , 1     , RigidTruck       , 6x4        , 0         , 99        , 4      , 85          , B5   , BT2               , MU11                  , T2      ,                      , D+ST1  , Truck.vacc , RigidTrailer                      , RigidTrailer                , RigidSolo                     , 20/22.5/22.5            , 35/35/30            , 35                        ,                       , 15/20/10                    , 17.5/20/10              , 22.5/32.5                     , 22.5/30                   , 2600/19300      , 3500/26500    , 1400/7100         , 3500/17500            , -               , 1200/6000         , 1400/7100    , -           , -     , -        , -          , -     , 8.5          , 6.7
12        , 0          , 1     , Tractor          , 6x4        , 0         , 99        , 4      , 85          ,      ,                   ,                       , ST1     , STT2                 , ST1+T2 , Truck.vacc , TractorSemitrailer                , RigidTrailer                , TractorSemitrailer            , 15/15/15                , 20/15/15            , 55                        , 50                    , 12.5/15/10                  , 15/15/10                , 37.5/25                       , 35/25                     , 2600/19300      , 3500/26500    , 2600/12900        , 3500/17500            , -               , -                 , 2600/12900   , -           , -     , -        , -          , -     , 8.8          , 7.3
13        , 0          , 0     , RigidTruck       , 6x6        , 0         , 99        , 3.6    , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
14        , 0          , 0     , Tractor          , 6x6        , 0         , 99        , 3.6    , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , TractorSemitrailer            ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
15        , 0          , 0     , RigidTruck       , 8x2        , 0         , 99        , 3.6    , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , ???               , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
16        , 0          , 1     , RigidTruck       , 8x4        , 0         , 99        , 3.6    , 85          ,      , BT3               ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         , 25/25/25/25         ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , 2600/12900   , -           , -     , -        , -          , -     , 9            , 7
17        , 0          , 0     , RigidTruck       , 8x6        , 0         , 99        , 3.6    , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
17        , 0          , 0     , RigidTruck       , 8x8        , 0         , 99        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        , Truck.vacc ,                                   ,                             , RigidSolo                     ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , -     ,              ,
B1        , 0          , 0     , CityBus          , 4x2        , 0         , 18        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        ,            ,                                   ,                             , CoachBus                      ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , ???         , ???   , ???      , -          , -     ,              ,
B2        , 0          , 0     , InterurbanBus    , 4x2        , 0         , 18        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        ,            ,                                   ,                             , CoachBus                      ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , ???        , -     ,              ,
B3        , 0          , 0     , Coach            , 4x2        , 0         , 18        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        ,            ,                                   ,                             , CoachBus                      ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , ???   ,              ,
B4        , 0          , 0     , CityBus          , 6x2        , 18        , 99        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        ,            ,                                   ,                             , CoachBus                      ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , ???         , ???   , ???      , -          , -     ,              ,
B5        , 0          , 0     , InterurbanBus    , 6x2        , 18        , 99        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        ,            ,                                   ,                             , CoachBus                      ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , ???        , -     ,              ,
B6        , 0          , 0     , Coach            , 6x2        , 18        , 99        , 4      , 85          ,      ,                   ,                       ,         ,                      ,        ,            ,                                   ,                             , CoachBus                      ,                         ,                     ,                           ,                       ,                             ,                         ,                               ,                           , -               , -             , -                 , -                     , -               , -                 , -            , -           , -     , -        , -          , ???   ,              ,
