vehiclegroup , longhaul  , regionaldelivery , urbandelivery , municipalutility , construction
53           ,           , 2.8 / 2.6        , 2.8 / 2.7     ,                  ,
54           ,           , 2.8 / 2.6        , 2.8 / 2.7     ,                  ,
1s           ,           , 2.8 / 2.6        , 2.8 / 2.7     ,                  ,
1            ,           , 2.8 / 2.6        , 2.8 / 2.7     ,                  ,
2            , 2.0 / 2.2 , 2.8 / 2.6        , 2.8 / 2.7     ,                  ,
3            ,           , 2.8 / 2.6        , 2.8 / 2.7     ,                  ,
4            , 2.0 / 1.8 , 2.4 / 2.8        , 2.1 / 2.5     , 2.1 / 2.1        , 2.1 / 2.1
5            , 2.0 / 1.8 , 2.4 / 2.8        , 2.1 / 2.5     ,                  , 2.1 / 2.1
9            , 2.0 / 1.8 , 2.4 / 2.8        ,               , 2.1 / 2.1        , 2.1 / 2.1
10           , 2.0 / 1.8 , 2.4 / 2.8        ,               ,                  , 2.1 / 2.1
11           , 2.0 / 1.8 , 2.4 / 2.8        ,               , 2.1 / 2.1        , 2.1 / 2.1
12           , 2.0 / 1.8 , 2.4 / 2.8        ,               ,                  , 2.1 / 2.1
16           ,           ,                  ,               ,                  , 2.1 / 2.1
